Municipios,AÑO,Cacao,Café,Caña de azucar,Caña panelera,Plátano
Cali,2018,0.0,666.5,"4,650.0",0.0,33.0
Alcalá,2018,20.0,"1,606.0",0.0,0.0,"1,254.0"
Andalucia,2018,50.0,253.1,"4,060.0",0.0,140.0
Ansermanuevo,2018,40.3,"3,950.8","1,483.0",77.0,521.9
Argelia,2018,12.0,"1,914.0",0.0,111.0,928.0
Bolivar,2018,232.0,"1,417.0",646.0,398.0,442.0
Buenaventura,2018,115.0,0.0,0.0,265.0,176.0
Buga,2018,5.0,515.0,"7,786.0",21.0,22.0
Bugalagrande,2018,96.0,"1,903.5","9,165.0",465.0,253.0
Caicedonia,2018,65.0,"4,516.0",125.0,22.0,"2,797.0"
Calima Darién,2018,2.0,443.0,0.0,89.5,213.0
Candelaria,2018,3.7,0.0,"24,700.0","1,272.0",7.5
Cartago,2018,21.0,319.4,"4,202.8",46.8,172.0
Dagua,2018,350.0,"1,140.9",0.0,322.0,"1,114.0"
El Aguila,2018,20.0,"4,903.5",0.0,63.0,"1,617.0"
El Cairo,2018,0.0,"2,926.9",0.0,75.0,"2,373.0"
El Cerrito,2018,0.0,191.0,"16,965.0",0.0,0.0
El Dovio,2018,43.0,698.0,0.0,278.0,113.0
Florida,2018,16.0,"1,528.0","10,110.0",0.0,270.0
Ginebra,2018,0.0,876.0,"3,300.0",39.0,54.0
Guacarì,2018,5.0,309.8,"13,197.0",57.0,158.0
Jamundì,2018,263.5,"1,518.0","9,207.0",53.0,56.0
La Cumbre,2018,0.0,666.6,0.0,14.7,348.4
La Unión,2018,3.3,478.1,"1,790.0",0.0,40.8
La Victoria,2018,23.0,590.0,"1,575.0",32.0,95.0
Obando,2018,25.6,"1,035.0","8,283.0",165.0,442.0
Palmira,2018,7.5,423.0,"33,900.0",178.0,118.0
Pradera,2018,2.0,536.4,"10,525.0",0.0,10.0
Restrepo,2018,0.0,579.6,0.0,345.0,708.0
Riofrìo,2018,103.0,"2,932.6","2,865.0",121.0,"3,573.0"
Roldanillo,2018,11.4,832.3,"2,719.3",16.0,82.5
San Pedro,2018,0.0,508.9,"4,920.0",530.0,0.0
Sevilla,2018,18.0,"6,237.0",100.0,238.0,"4,348.0"
Toro,2018,11.0,"1,505.0","2,034.0",0.0,146.0
Trujillo,2018,40.5,"4,099.7",123.5,47.5,"3,499.0"
Tuluà,2018,37.0,"4,110.0","8,130.0",35.0,475.0
Ulloa,2018,24.5,735.5,0.0,0.0,195.4
Versalles,2018,13.5,"1,305.9",0.0,474.0,389.6
Vijes,2018,0.0,640.0,190.0,0.0,167.0
Yotoco,2018,2.0,901.2,"3,124.0",34.0,"1,262.0"
Yumbo,2018,1.0,303.1,"2,298.0",8.4,11.7
Zarzal,2018,4.7,0.0,"17,372.0",37.0,8.3
